805 805
0 1 -2.805741
0 10 -2.669477
0 14 -0.571004
0 17 0.001307
0 21 -0.816280
1 2 1.500216
1 3 0.246583
1 10 -1.088809
2 3 -0.189464
3 4 -0.461993
3 10 -1.797384
3 18 0.246583
3 19 -3.241788
3 27 0.192077
3 29 -1.443097
3 30 -0.898039
4 5 0.682629
4 6 -0.407487
4 19 -0.625510
4 20 -0.898039
4 22 -0.080452
4 23 -0.898039
4 25 -1.443097
4 26 -0.898039
4 28 -2.260684
4 31 -0.243969
4 32 -1.225074
4 36 0.519112
4 38 -0.216717
6 7 -0.789027
6 8 -0.243969
6 9 -0.080452
6 11 -0.734521
6 20 -1.497603
8 9 0.301088
8 11 -0.080452
8 12 -1.443097
9 11 -0.134958
9 12 -0.571004
9 13 0.028560
9 15 0.110318
9 20 -0.816280
9 26 0.083065
10 18 0.927905
10 21 -0.352981
10 24 -1.933649
11 12 -0.380234
13 16 0.519112
13 23 -1.170568
14 17 0.900652
16 23 0.791641
17 21 -0.352981
17 24 -1.306832
17 39 -0.298475
18 24 -0.680016
18 29 -0.107705
19 22 -0.898039
19 27 -0.243969
19 34 0.655376
19 37 1.091422
19 41 0.791641
20 26 0.328341
21 24 0.137571
22 25 -0.816280
22 37 -2.315189
23 26 -0.053199
23 38 0.301088
23 43 0.573617
23 44 -2.478707
24 29 -0.380234
24 30 -0.843533
24 34 -1.306832
24 39 -0.571004
24 40 -0.571004
24 47 -0.734521
24 48 -0.380234
24 51 -0.134958
24 54 -0.352981
24 56 -0.843533
24 57 -1.388591
24 62 -0.761774
24 65 -1.170568
24 73 1.227687
24 77 0.355594
24 84 0.083065
24 85 -0.298475
24 86 -0.516498
24 88 -1.116062
25 32 0.410100
25 33 0.410100
25 37 -0.734521
25 40 -0.080452
27 30 -0.053199
27 34 0.791641
28 31 -1.579361
28 32 -1.388591
29 30 -0.461993
30 34 0.083065
31 32 1.282193
31 35 0.246583
31 36 0.355594
31 38 -0.680016
31 49 -0.816280
31 50 -1.824637
32 35 0.628123
33 35 2.154285
33 40 0.791641
34 41 0.246583
34 45 -1.606614
34 48 0.410100
35 40 0.900652
35 42 1.554722
35 49 -0.952545
36 38 0.437353
37 40 -1.007050
37 41 -0.952545
38 43 0.600870
38 50 0.083065
39 47 -0.489245
40 41 0.519112
40 42 1.173181
40 45 -0.489245
40 49 0.355594
40 52 1.009664
40 54 -1.225074
40 59 0.737135
40 60 -0.680016
40 62 -0.243969
40 65 0.410100
40 69 -2.424201
40 76 -0.189464
41 45 1.145928
43 44 -1.388591
43 46 0.737135
43 50 1.500216
43 53 -1.225074
43 58 -0.461993
43 61 0.628123
43 63 -1.334085
44 46 -0.898039
45 48 -0.298475
45 51 -0.461993
45 54 -1.061556
49 50 -0.352981
49 52 -0.489245
49 53 -1.770131
49 55 -1.606614
49 58 -0.461993
49 64 0.273836
49 67 0.301088
49 70 -0.516498
49 71 0.055812
49 78 0.655376
50 53 -0.025946
51 54 1.009664
52 55 0.600870
52 59 -0.298475
52 60 -0.516498
52 64 -0.625510
52 66 0.355594
52 70 -0.461993
52 80 -0.352981
53 58 0.001307
54 62 -0.571004
58 61 -0.189464
58 67 0.873399
58 68 0.846146
58 72 -1.552108
58 82 -0.979798
59 60 -0.843533
60 66 -1.225074
60 69 -0.707269
60 76 -0.407487
60 78 -0.979798
60 80 -0.925292
60 89 0.355594
60 95 0.818893
61 63 0.055812
61 68 0.573617
61 75 0.519112
61 81 -1.007050
62 65 -0.925292
64 70 1.500216
65 73 0.464606
65 76 -0.489245
66 80 -1.497603
67 72 -1.715626
68 74 -0.025946
68 75 0.246583
68 82 0.519112
68 83 -0.380234
68 96 -0.516498
69 76 0.083065
70 78 1.091422
71 72 -2.642224
71 78 -1.715626
71 79 -2.642224
72 79 -1.770131
72 82 0.246583
73 76 -0.189464
73 86 4.116494
73 90 -0.189464
73 92 -1.116062
75 81 -1.988155
75 83 -0.680016
76 90 0.464606
76 93 0.028560
77 84 -0.516498
78 79 -2.696730
78 80 -0.461993
78 82 -1.497603
78 87 -1.225074
78 89 -0.298475
79 82 -1.061556
81 83 -1.197821
82 87 -0.898039
82 94 0.628123
83 96 0.083065
84 88 -0.843533
84 91 -1.824637
85 86 -1.279579
86 88 -0.298475
86 91 -0.571004
86 92 -0.571004
87 89 0.301088
87 94 1.336698
88 91 -1.143315
89 94 0.110318
90 92 -1.497603
90 93 -1.088809
91 92 -0.407487
92 93 -1.770131
97 98 -0.080452
97 107 -2.151672
97 115 0.846146
97 117 -0.707269
98 99 0.927905
98 107 -0.025946
98 108 0.110318
99 100 -0.189464
99 108 1.227687
99 109 3.789459
99 111 -0.598257
99 116 -0.216717
99 119 -0.952545
99 120 -0.243969
99 121 -0.734521
99 122 -0.870786
99 124 0.001307
99 125 -1.715626
99 126 -1.988155
99 130 0.846146
99 133 -0.952545
100 101 -1.007050
100 102 -0.952545
100 103 -0.898039
100 104 -2.151672
100 111 -0.707269
102 103 -0.516498
102 104 0.273836
102 106 -0.952545
103 104 0.464606
103 105 -0.134958
103 106 -0.761774
103 110 0.083065
103 111 -0.734521
103 112 -0.571004
103 113 -0.843533
103 121 -0.979798
104 106 -0.571004
105 110 0.083065
105 113 0.737135
105 114 0.737135
105 119 -1.170568
107 108 1.064170
107 115 1.336698
107 117 0.682629
107 118 1.064170
107 123 -1.116062
108 109 2.535826
108 116 -0.352981
108 118 0.355594
108 127 1.445710
108 128 -1.388591
110 113 0.628123
111 121 -1.770131
113 119 -0.734521
114 119 0.001307
114 142 0.410100
114 143 0.246583
114 147 0.737135
115 117 -0.598257
115 123 -0.843533
115 137 -1.633867
116 120 -2.587718
116 129 -0.516498
116 135 -0.979798
116 139 -0.952545
118 123 -0.243969
118 128 -0.707269
119 121 -1.770131
119 133 -0.461993
119 140 0.519112
119 142 -0.543751
119 143 -0.571004
120 125 -2.587718
120 131 -2.832994
120 135 -1.770131
122 124 -0.598257
122 126 0.192077
123 127 -1.116062
123 128 -0.298475
123 129 -0.080452
123 131 0.137571
123 134 -0.243969
123 137 -0.134958
123 150 -1.497603
123 154 0.083065
123 156 -0.652763
123 158 -0.243969
123 161 -1.061556
123 171 -1.007050
123 173 1.282193
123 179 0.083065
123 184 -1.388591
123 188 -1.497603
123 192 -0.189464
123 193 0.355594
123 195 0.164824
123 196 -0.298475
123 198 0.164824
123 199 0.083065
124 126 0.628123
124 130 -0.107705
124 132 0.900652
125 126 0.055812
125 131 -0.380234
125 136 2.181538
126 136 1.718239
126 138 0.573617
126 141 0.464606
127 128 0.628123
127 129 1.909009
127 134 -0.380234
129 134 0.573617
129 139 -0.407487
129 144 -2.042660
129 150 1.118675
130 132 0.437353
130 133 -0.898039
130 140 0.709882
131 135 -1.715626
131 136 1.881756
131 145 0.410100
131 146 2.372308
131 148 1.064170
131 152 0.491859
131 153 0.955158
131 158 -0.298475
131 163 -0.680016
131 173 0.573617
132 138 -1.061556
132 140 0.491859
132 141 0.955158
132 146 -0.898039
132 149 -0.571004
133 140 -0.843533
135 139 -2.587718
135 144 0.301088
135 145 -0.625510
135 152 1.009664
135 153 1.118675
136 138 0.682629
136 146 2.154285
138 141 0.355594
138 146 -0.843533
139 144 -0.407487
140 143 0.791641
140 147 0.382847
140 149 -0.243969
140 151 0.519112
140 157 -0.134958
142 143 -0.189464
143 147 1.363951
143 151 1.500216
144 150 -0.843533
144 152 0.519112
144 154 -0.080452
144 158 1.009664
146 148 -0.625510
146 149 -0.516498
146 155 -1.933649
146 166 -0.625510
146 167 -0.053199
146 172 -1.116062
146 174 -0.516498
146 175 -0.707269
146 176 0.573617
147 151 1.254940
147 157 0.900652
147 159 -0.053199
147 160 0.192077
147 164 0.246583
147 165 -1.088809
148 163 -0.461993
148 166 -0.843533
148 169 -0.461993
148 175 -0.843533
148 181 0.246583
148 182 1.009664
149 155 -0.543751
150 154 -1.334085
152 153 -0.789027
152 158 -0.298475
154 158 0.791641
155 157 -1.007050
155 162 0.192077
155 167 -0.243969
157 160 -0.598257
157 162 -0.243969
160 162 0.246583
160 164 0.655376
161 171 -2.587718
162 164 -0.189464
162 167 -0.189464
162 168 0.682629
162 172 0.192077
163 169 -0.979798
163 173 -0.543751
163 180 -0.298475
163 181 -0.789027
163 182 -0.025946
163 186 -0.325728
163 194 0.682629
163 197 0.900652
163 202 -0.216717
164 165 0.137571
164 168 0.900652
164 170 2.971872
164 178 0.682629
164 183 -1.552108
166 175 -0.025946
167 172 0.301088
168 170 1.827251
168 172 2.590332
168 177 0.246583
168 187 0.818893
168 190 -0.434740
169 182 1.827251
170 178 0.546365
170 187 0.519112
170 189 -1.552108
